# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
124,Vector._sort,92,=,3,12399.3,233.43501293327415,4.592333333333333,0.08645741219750895
124,Vector._sort,95,<=,3,24169.6,7306.44043509416,8.951703703703703,2.7060890500348744
131,_hash,61,int.>>,3032,2236180.3,35440.626917794725,828.2149259259259,13.12615811770175
131,_hash,92,=,3032,3126343.2,47595.490902749276,1157.904888888889,17.627959593610843
131,_hash,100,^,3032,14899966.0,128903.43086365539,5518.505925925926,47.742011430983474
131,_hash,178,_Sym.custom_hash,3032,762746.3,25841.085819413933,282.49862962962965,9.570772525708865
135,Dictionary._get_bucket_idx,68,list.length,3032,759502.2,22336.94488745636,281.2971111111111,8.272942550909763
135,Dictionary._get_bucket_idx,88,-,3032,21617289.2,157431.72212058355,8006.403407407407,58.30804522984576
135,Dictionary._get_bucket_idx,98,&,3032,33021282.4,169972.9518700268,12230.104592592592,62.95294513704696
136,Dictionary._get_bucket,65,list.get,3016,14724900.0,123782.06504897818,5453.666666666667,45.84520927739933
136,Dictionary._get_bucket,135,Dictionary._get_bucket_idx,3016,60503532.6,234566.76838452145,22408.71577777778,86.8765808831561
137,Dictionary.at,92,=,6032,5755806.6,59796.18471229889,2131.780222222222,22.14673507862922
137,Dictionary.at,93,!=,6032,9704309.6,89235.66694663429,3594.1887407407407,33.05024701727196
137,Dictionary.at,131,_hash,3016,29351900.3,196016.4604917013,10871.074185185185,72.59868907100048
137,Dictionary.at,136,Dictionary._get_bucket,3016,79461058.3,268527.70348760305,29430.02159259259,99.45470499540853
137,Dictionary.at,149,_IdEntry.match,3016,11472117.3,105401.95009935737,4248.932333333333,39.03775929605829
139,Dictionary.at_put,43,lambda-43,16,68459.7,7219.274501382797,25.355444444444444,2.6738053708825174
139,Dictionary.at_put,65,list.get,16,132506.5,9855.675423461938,49.07648148148148,3.650250156837755
139,Dictionary.at_put,66,list.set,16,28028.9,1250.0719095105562,10.381074074074075,0.46298959611502083
139,Dictionary.at_put,68,list.length,16,8989.6,1406.3484033407042,3.3294814814814817,0.5208697790150756
139,Dictionary.at_put,92,=,16,15237.5,395.8026488568573,5.643518518518518,0.14659357365068787
139,Dictionary.at_put,96,>,16,241997.8,10311.104140172078,89.62881481481482,3.8189274593229916
139,Dictionary.at_put,131,_hash,16,353433.3,20575.479420391333,130.90122222222223,7.620547933478272
139,Dictionary.at_put,135,Dictionary._get_bucket_idx,16,462002.0,25957.90140734964,171.11185185185184,9.614037558277644
139,Dictionary.at_put,150,IdentityDictionary._new_entry,16,214862.9,6649.365699072352,79.57885185185185,2.4627280366934636
